"season","date","stadium","away_team","home_team","away_total_score","home_total_score","winner_side","winning_margin","margin_bucket"
"中職2024年","2024-05-31 18:35:00","臺北大巨蛋","中信兄弟","味全龍",4,3,"away",1,"1_run"
"中職2024年","2024-08-13 18:35:00","臺東棒球村第一棒球場","富邦悍將","中信兄弟",7,1,"away",6,"4_plus_runs"
"中職2024年","2024-09-08 19:30:00","澄清湖棒球場","富邦悍將","台鋼雄鷹",8,2,"away",6,"4_plus_runs"
"中職2024年","2024-07-09 18:35:00","臺中市洲際棒球場","樂天桃猿","中信兄弟",5,2,"away",3,"2_3_runs"
"中職2024年","2024-05-21 19:00:00","臺北市立天母棒球場","統一7-ELEVEn獅","味全龍",5,0,"away",5,"4_plus_runs"
"中職2024年","2024-05-12 14:06:00","樂天桃園棒球場","統一7-ELEVEn獅","樂天桃猿",2,5,"home",3,"2_3_runs"
"中職2024年","2024-07-27 17:05:00","臺南市立棒球場","味全龍","統一7-ELEVEn獅",0,2,"home",2,"2_3_runs"
"中職2024年","2024-09-17 17:05:00","臺北大巨蛋","台鋼雄鷹","味全龍",1,11,"home",10,"4_plus_runs"
"中職2024年","2024-09-01 17:05:00","新北市立新莊棒球場","中信兄弟","富邦悍將",8,5,"away",3,"2_3_runs"
"中職2024年","2024-08-22 18:35:00","斗六棒球場","樂天桃猿","味全龍",8,4,"away",4,"4_plus_runs"
"中職2024年","2024-06-09 17:06:00","樂天桃園棒球場","富邦悍將","樂天桃猿",7,2,"away",5,"4_plus_runs"
"中職2024年","2024-09-14 17:06:00","新北市立新莊棒球場","樂天桃猿","富邦悍將",4,8,"home",4,"4_plus_runs"
"中職2024年","2024-08-14 18:35:00","嘉義市立棒球場","味全龍","統一7-ELEVEn獅",8,2,"away",6,"4_plus_runs"
"中職2024年","2024-05-10 18:30:00","澄清湖棒球場","味全龍","台鋼雄鷹",5,3,"away",2,"2_3_runs"
"中職2024年","2024-08-03 17:05:00","臺北大巨蛋","富邦悍將","中信兄弟",0,5,"home",5,"4_plus_runs"
"中職2024年","2024-04-04 17:05:00","臺北大巨蛋","台鋼雄鷹","中信兄弟",3,5,"home",2,"2_3_runs"
"中職2024年","2024-06-16 17:05:00","臺北大巨蛋","統一7-ELEVEn獅","中信兄弟",11,2,"away",9,"4_plus_runs"
"中職2024年","2024-09-06 18:36:00","樂天桃園棒球場","味全龍","樂天桃猿",8,4,"away",4,"4_plus_runs"
"中職2024年","2024-04-21 14:05:00","澄清湖棒球場","中信兄弟","台鋼雄鷹",8,0,"away",8,"4_plus_runs"
"中職2024年","2024-06-01 17:00:00","澄清湖棒球場","樂天桃猿","台鋼雄鷹",9,5,"away",4,"4_plus_runs"
"中職2024年","2024-10-10 17:05:00","澄清湖棒球場","樂天桃猿","台鋼雄鷹",1,12,"home",11,"4_plus_runs"
"中職2024年","2024-10-07 18:35:00","臺中市洲際棒球場","台鋼雄鷹","中信兄弟",3,4,"home",1,"1_run"
"中職2024年","2024-10-06 17:05:00","嘉義市立棒球場","樂天桃猿","台鋼雄鷹",6,7,"home",1,"1_run"
"中職2024年","2024-10-06 17:05:00","臺北市立天母棒球場","富邦悍將","味全龍",3,5,"home",2,"2_3_runs"
"中職2024年","2024-10-05 16:28:00","新北市立新莊棒球場","味全龍","富邦悍將",1,3,"home",2,"2_3_runs"
"中職2024年","2024-10-05 17:05:00","臺中市洲際棒球場","統一7-ELEVEn獅","中信兄弟",5,4,"away",1,"1_run"
"中職2024年","2024-10-01 18:35:00","新北市立新莊棒球場","樂天桃猿","富邦悍將",6,2,"away",4,"4_plus_runs"
"中職2024年","2024-09-29 16:51:00","樂天桃園棒球場","中信兄弟","樂天桃猿",8,5,"away",3,"2_3_runs"
"中職2024年","2024-09-29 17:05:00","臺南市立棒球場","台鋼雄鷹","統一7-ELEVEn獅",4,2,"away",2,"2_3_runs"
"中職2024年","2024-09-28 17:05:00","臺北大巨蛋","台鋼雄鷹","統一7-ELEVEn獅",4,0,"away",4,"4_plus_runs"
"中職2024年","2024-09-27 18:36:00","臺北市立天母棒球場","統一7-ELEVEn獅","味全龍",3,1,"away",2,"2_3_runs"
"中職2024年","2024-09-27 18:36:00","新北市立新莊棒球場","樂天桃猿","富邦悍將",8,5,"away",3,"2_3_runs"
"中職2024年","2024-09-26 18:35:00","臺中市洲際棒球場","台鋼雄鷹","中信兄弟",2,3,"home",1,"1_run"
"中職2024年","2024-09-24 18:35:00","澄清湖棒球場","味全龍","台鋼雄鷹",1,6,"home",5,"4_plus_runs"
"中職2024年","2024-09-22 17:05:00","臺北大巨蛋","味全龍","中信兄弟",5,1,"away",4,"4_plus_runs"
"中職2024年","2024-09-20 18:35:00","澄清湖棒球場","富邦悍將","台鋼雄鷹",3,3,"away",0,"2_3_runs"
"中職2024年","2024-09-20 18:35:00","臺南市立棒球場","中信兄弟","統一7-ELEVEn獅",6,4,"away",2,"2_3_runs"
"中職2024年","2024-09-19 18:35:00","臺南市立棒球場","中信兄弟","統一7-ELEVEn獅",3,4,"home",1,"1_run"
"中職2024年","2024-09-19 18:35:00","樂天桃園棒球場","味全龍","樂天桃猿",9,1,"away",8,"4_plus_runs"
"中職2024年","2024-09-17 17:05:00","臺中市洲際棒球場","富邦悍將","中信兄弟",5,2,"away",3,"2_3_runs"
"中職2024年","2024-09-15 17:06:00","新北市立新莊棒球場","樂天桃猿","富邦悍將",6,2,"away",4,"4_plus_runs"
"中職2024年","2024-09-14 17:06:00","臺北大巨蛋","中信兄弟","味全龍",3,2,"away",1,"1_run"
"中職2024年","2024-09-13 18:35:00","臺南市立棒球場","台鋼雄鷹","統一7-ELEVEn獅",4,6,"home",2,"2_3_runs"
"中職2024年","2024-09-13 18:35:00","新北市立新莊棒球場","樂天桃猿","富邦悍將",0,4,"home",4,"4_plus_runs"
"中職2024年","2024-09-11 19:31:00","新北市立新莊棒球場","統一7-ELEVEn獅","富邦悍將",1,5,"home",4,"4_plus_runs"
"中職2024年","2024-09-11 18:35:00","臺北市立天母棒球場","台鋼雄鷹","味全龍",6,3,"away",3,"2_3_runs"
"中職2024年","2024-09-08 17:05:00","樂天桃園棒球場","味全龍","樂天桃猿",4,1,"away",3,"2_3_runs"
"中職2024年","2024-09-08 17:06:00","臺中市洲際棒球場","統一7-ELEVEn獅","中信兄弟",5,7,"home",2,"2_3_runs"
"中職2024年","2024-09-07 18:12:00","樂天桃園棒球場","味全龍","樂天桃猿",3,9,"home",6,"4_plus_runs"
"中職2024年","2024-09-06 18:36:00","臺中市洲際棒球場","統一7-ELEVEn獅","中信兄弟",7,8,"home",1,"1_run"
"中職2024年","2024-09-04 18:35:00","臺南市立棒球場","樂天桃猿","統一7-ELEVEn獅",9,3,"away",6,"4_plus_runs"
"中職2024年","2024-09-04 18:35:00","臺東棒球村第一棒球場","中信兄弟","台鋼雄鷹",2,6,"home",4,"4_plus_runs"
"中職2024年","2024-09-03 18:35:00","臺南市立棒球場","樂天桃猿","統一7-ELEVEn獅",1,4,"home",3,"2_3_runs"
"中職2024年","2024-09-01 17:07:00","樂天桃園棒球場","台鋼雄鷹","樂天桃猿",11,6,"away",5,"4_plus_runs"
"中職2024年","2024-08-30 18:35:00","臺北市立天母棒球場","統一7-ELEVEn獅","味全龍",0,6,"home",6,"4_plus_runs"
"中職2024年","2024-08-30 18:35:00","新北市立新莊棒球場","中信兄弟","富邦悍將",3,1,"away",2,"2_3_runs"
"中職2024年","2024-08-30 18:36:00","樂天桃園棒球場","台鋼雄鷹","樂天桃猿",2,8,"home",6,"4_plus_runs"
"中職2024年","2024-08-28 18:36:00","臺中市洲際棒球場","味全龍","中信兄弟",1,6,"home",5,"4_plus_runs"
"中職2024年","2024-08-28 18:36:00","樂天桃園棒球場","富邦悍將","樂天桃猿",3,5,"home",2,"2_3_runs"
"中職2024年","2024-08-25 17:05:00","澄清湖棒球場","味全龍","台鋼雄鷹",14,0,"away",14,"4_plus_runs"
